fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag
2022,63298000000,65570000000,-2272000000,263966000000,4434000000,2038000000,178000000.0,1114000000,5900000000.0,False,MCK,927653,Healthcare,McKESSON CORPORATION,0.09320989604726848,11.44943820224719,2.8949950932286557,0.7515254237288136,3.4632579216123904,False,False,False
2023,62320000000,64177000000,-1857000000,276711000000,5159000000,4381000000,248000000.0,3560000000,5600000000.0,False,MCK,927653,Healthcare,McKESSON CORPORATION,0.08985879332477535,17.66532258064516,1.2782469755763524,0.92125,0.04828273338232947,False,False,False
2024,67443000000,69414000000,-1971000000,308951000000,4314000000,3909000000,252000000.0,3002000000,5600000000.0,False,MCK,927653,Healthcare,McKESSON CORPORATION,0.08303307978589328,15.511904761904763,1.4325914556152468,0.7703571428571429,0.11651145057478751,False,False,False
2025,75140000000,77214000000,-2074000000,359051000000,6085000000,4422000000,,3295000000,5700000000.0,False,MCK,927653,Healthcare,McKESSON CORPORATION,0.07585839765770562,,1.2890094979647218,1.067543859649123,0.16216163728228739,False,True,False
2021,93083000000,41481000000,51428000000,30117000000,6240000000,4484000000,925000000.0,3606000000,26378000000.0,False,MDT,1613103,Healthcare,Medtronic plc,0.28338149823276,4.847567567567568,5.882694023193578,0.23656077033891879,,False,False,False
2022,90981000000,38260000000,52551000000,31686000000,7346000000,5752000000,553000000.0,5039000000,20372000000.0,False,MDT,1613103,Healthcare,Medtronic plc,0.22391488332728812,10.401446654611211,3.5417246175243395,0.36059297074415864,0.05209682239266855,False,False,False
2023,90948000000,39283000000,51483000000,31227000000,6039000000,5485000000,636000000.0,3758000000,24344000000.0,False,MDT,1613103,Healthcare,Medtronic plc,0.2676694374807582,8.624213836477987,4.438286235186873,0.24806933946763063,-0.014485892823328905,False,False,False
2024,89981000000,39561000000,50214000000,32364000000,6787000000,5144000000,719000000.0,3676000000,23932000000.0,False,MDT,1613103,Healthcare,Medtronic plc,0.26596725975483715,7.154381084840056,4.652410575427683,0.28359518636135717,0.03641079834758387,False,False,False
2025,91680000000,43424000000,48024000000,33537000000,7044000000,5955000000,,4662000000,25642000000.0,False,MDT,1613103,Healthcare,Medtronic plc,0.27969022687609074,,4.305961376994123,0.27470556118867484,0.03624397478680019,False,True,False
2021,38493000000,24852000000,13641000000,11142000000,4255000000,4447000000,646000000.0,3005000000,13840000000.0,False,NSC,702165,SupplyChain,NORFOLK SOUTHERN CORPORATION,0.3595458914607851,6.88390092879257,3.1122104789745895,0.3074421965317919,,False,False,False
2022,38885000000,26152000000,12733000000,12745000000,4222000000,4809000000,692000000.0,3270000000,15182000000.0,False,NSC,702165,SupplyChain,NORFOLK SOUTHERN CORPORATION,0.3904333290471904,6.949421965317919,3.156997296735288,0.278092477934396,0.14387004128522718,False,False,False
2023,41652000000,28871000000,12781000000,12156000000,3179000000,2851000000,722000000.0,1827000000,17179000000.0,False,NSC,702165,SupplyChain,NORFOLK SOUTHERN CORPORATION,0.41244117929511187,3.9487534626038783,6.0256050508593475,0.18505151638628559,-0.046214201647704956,False,False,False
2024,43682000000,29376000000,14306000000,12123000000,4052000000,4071000000,807000000.0,2622000000,17206000000.0,False,NSC,702165,SupplyChain,NORFOLK SOUTHERN CORPORATION,0.3938922210521496,5.044609665427509,4.226479980348809,0.2354992444496106,-0.002714708785784836,False,False,False
2025,45236000000,29689000000,15547000000,12180000000,4361000000,4356000000,,2873000000,17087000000.0,False,NSC,702165,SupplyChain,NORFOLK SOUTHERN CORPORATION,0.3777301264479618,,3.922635445362718,0.2552232691519869,0.004701806483543569,False,True,False
2021,4821544000,1141737000,3679807000,5256328000,1212606000,1391602000,1727000.0,1034375000,99947000.0,False,ODFL,878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC.",0.020729251874503273,805.7915460335843,0.07182154092908748,12.132490219816503,,False,False,False
2022,4838610000,1185693000,3652917000,6260077000,1691582000,1840632000,1563000.0,1377159000,99963000.0,False,ODFL,878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC.",0.020659445584579043,1177.6276391554702,0.05430906340865529,16.92208117003291,0.1909601151221918,False,False,False
2023,5512393000,1254582000,4257811000,5866152000,1569135000,1640673000,464000.0,1239502000,79977000.0,False,ODFL,878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC.",0.014508580937534751,3535.9331896551726,0.0487464595321554,19.619828200607675,-0.06292654227735539,False,False,False
2024,5491395000,1246807000,4244588000,5814810000,1659283000,1543998000,212000.0,1186073000,59987000.0,False,ODFL,878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC.",0.010923818082654772,7283.009433962264,0.03885173426390449,27.6607098204611,-0.008752245083318622,False,False,False
2025,5470160000,1159103000,4311057000,5496389000,1370133000,1361045000,296000.0,1023703000,39995000.0,False,ODFL,878927,SupplyChain,"OLD DOMINION FREIGHT LINE, INC.",0.00731148631849891,4598.125,0.02938550892880103,34.25760720090011,-0.05476034470601787,False,False,False
2021,11718707000,11785130000,-66423000,3291493000,3207310000,675881000,144768000.0,518973000,3826978000.0,False,ORLY,898173,Retail,O Reilly Automotive Inc,0.3265699876274746,4.668718225022104,5.662206808595005,0.8380790273683308,,False,False,False
2022,12627979000,13688731000,-1060752000,3644493000,3148250000,682217000,157720000.0,528572000,4371653000.0,False,ORLY,898173,Retail,O Reilly Automotive Inc,0.3461878579303941,4.3254945472990105,6.408009474991095,0.720150936041813,0.1072461645824554,False,False,False
2023,13872995000,15612273000,-1739278000,3832015000,3034084000,718736000,201668000.0,552504000,5570125000.0,False,ORLY,898173,Retail,O Reilly Automotive Inc,0.40150847023299585,3.5639566019398217,7.749890084815565,0.5447066268710308,0.051453521793017654,False,False,False
2024,14893741000,16264702000,-1370961000,16708479000,3049576000,3251157000,222548000.0,2386680000,5520932000.0,False,ORLY,898173,Retail,O Reilly Automotive Inc,0.3706880628580825,14.60879001383971,1.698143768510718,0.5523661584674472,3.360233193241676,False,False,False
